충전소명,주소,상세주소,충전기ID,충전방식,충전상태,설치년도
금능해수욕장 주차장,제주특별자치도 제주시 한림읍 금능리 2018,,22,동시,사용가능,2020
소공원 주차장,제주특별자치도 제주시 한림읍 귀덕리 3025-2,,21,동시,상태미확인,2020
소공원 주차장,제주특별자치도 제주시 한림읍 귀덕리 3025-2,,22,동시,상태미확인,2020
유수암리사무소,제주특별자치도 제주시 애월읍 유수암평화길 14,,21,동시,사용가능,2020
유수암리사무소,제주특별자치도 제주시 애월읍 유수암평화길 14,,22,동시,사용가능,2020
저지 다온빌라 공용주차장,제주특별자치도 제주시 한경면 저지12길 72-12,,21,동시,상태미확인,2020
저지 다온빌라 공용주차장,제주특별자치도 제주시 한경면 저지12길 72-12,,22,동시,상태미확인,2020
제주 청소년수련원 도로변 주차장,제주특별자치도 제주시 한림읍 금능리 2243-2,,21,동시,사용가능,2021
제주 청소년수련원 도로변 주차장,제주특별자치도 제주시 한림읍 금능리 2243-2,,22,동시,사용가능,2021
환경시설관리사무소,제주특별자치도 제주시 송이길 226,,1,단독,사용가능,2020
환경시설관리사무소,제주특별자치도 제주시 송이길 226,,2,단독,사용가능,2021
제주특별자치도 농업기술원,제주특별자치도 서귀포시 중산간서로 212,,21,동시,사용가능,2020
제주특별자치도 농업기술원,제주특별자치도 서귀포시 중산간서로 212,,22,동시,사용가능,2020
제주특별자치도 농업기술원,제주특별자치도 서귀포시 중산간서로 212,,23,동시,점검중,2020
제주특별자치도 농업기술원,제주특별자치도 서귀포시 중산간서로 212,,24,동시,사용가능,2020
돈내코유원지 주차장,제주특별자치도 서귀포시 돈내코로 120,,41,동시,사용가능,2020
돈내코유원지 주차장,제주특별자치도 서귀포시 돈내코로 120,,42,동시,사용가능,2021
돈내코유원지 주차장,제주특별자치도 서귀포시 돈내코로 120,,43,동시,사용가능,2021
돈내코유원지 주차장,제주특별자치도 서귀포시 돈내코로 120,,44,동시,점검중,2020
한림종합운동장 주차장,제주특별자치도 제주시 한림읍 한림리 887-2,,41,동시,점검중,2020
한림종합운동장 주차장,제주특별자치도 제주시 한림읍 한림리 887-2,,42,동시,사용가능,2020
한림종합운동장 주차장,제주특별자치도 제주시 한림읍 한림리 887-2,,43,동시,사용가능,2020
한림종합운동장 주차장,제주특별자치도 제주시 한림읍 한림리 887-2,,44,동시,충전중,2020
대륜 공영노외2주차장,제주특별자치도 서귀포시 이어도로 901,,1,단독,사용가능,2021
남원 공영노외1주차장,제주특별자치도 서귀포시 남원읍 남원리 180,,1,단독,충전중,2021
중문119센터,제주특별자치도 서귀포시 일주서로 669,,1,단독,사용가능,2021
대정읍 노외4주차장,제주특별자치도 서귀포시 대정읍 하모리 860-7,,1,단독,상태미확인,2021
대정읍 노외4주차장,제주특별자치도 서귀포시 대정읍 하모리 860-7,,2,단독,사용가능,2021
대정청소년수련관,제주특별자치도 서귀포시 대정읍 동일하모로149번길 21-8,,1,단독,사용가능,2021
대정청소년수련관,제주특별자치도 서귀포시 대정읍 동일하모로149번길 21-8,,2,단독,사용가능,2021
효돈동주민센터 앞 주차장,제주특별자치도 서귀포시 신효동 881-8,,1,단독,사용가능,2021
효돈동주민센터 앞 주차장,제주특별자치도 서귀포시 신효동 881-8,,2,단독,사용가능,2021
교래자연휴양림,제주특별자치도 제주시 조천읍 교래리 산98-2,,1,단독,충전중,2021
교래자연휴양림,제주특별자치도 제주시 조천읍 교래리 산98-2,,2,단독,사용가능,2021
제주동부경찰서,제주특별자치도 제주시 동광로 66,,1,단독,사용가능,2021
제주동부경찰서,제주특별자치도 제주시 동광로 66,,2,단독,사용가능,2021
제주동부경찰서,제주특별자치도 제주시 동광로 66,,3,단독,사용가능,2021
서귀포경찰서,제주특별자치도 서귀포시 신중로 27,,1,단독,사용가능,2021
서귀포경찰서,제주특별자치도 서귀포시 신중로 27,,2,단독,사용가능,2021
